Fecha_Ini_Expte;Cant_Expte
2011-01-09;5960.575560302543
2011-01-16;6091.158323924816
2011-01-23;6222.0488528219
2011-01-30;6353.352938316151
2011-02-06;6484.380091196916
2011-02-13;6613.542101667084
2011-02-20;6739.08677237255
2011-02-27;6859.7528171456615
2011-03-06;6974.681395586036
2011-03-13;7083.545071782574
2011-03-20;7186.8328589519415
2011-03-27;7283.621554640933
2011-04-03;7374.134310859505
2011-04-10;7457.059516145963
2011-04-17;7531.6636000943245
2011-04-24;7598.211080101017
2011-05-01;7657.83605881241
2011-05-08;7709.993131949803
2011-05-15;7754.394497697744
2011-05-22;7791.264858533303
2011-05-29;7821.3636703724915
2011-06-05;7845.910848594734
2011-06-12;7864.92045628547
2011-06-19;7878.747237249767
2011-06-26;7888.316610007512
2011-07-03;7894.194776055317
2011-07-10;7896.870239008533
2011-07-17;7896.613255747477
2011-07-24;7893.899164253089
2011-07-31;7888.411044221462
2011-08-07;7879.450163371029
2011-08-14;7866.153782517584
2011-08-21;7847.893881124818
2011-08-28;7824.25796754235
2011-09-04;7795.277991444096
2011-09-11;7760.02199127426
2011-09-18;7717.775956732399
2011-09-25;7668.769613773527
2011-10-02;7613.524078379701
2011-10-09;7552.7556105243675
2011-10-16;7486.645767631991
2011-10-23;7415.514384870457
2011-10-30;7339.307143802885
2011-11-06;7258.495029501844
2011-11-13;7174.235085075032
2011-11-20;7087.912169236699
2011-11-27;7001.36599377293
2011-12-04;6916.336950364035
2011-12-11;6835.543326944217
2011-12-18;6760.427575853699
2011-12-25;6691.749309853369
2012-01-01;6631.391624469205
2012-01-08;6581.537771908533
2012-01-15;6543.768884613375
2012-01-22;6519.555133918317
2012-01-29;6509.884335605055
2012-02-05;6514.993333496589
2012-02-12;6534.320293706165
2012-02-19;6566.514011513601
2012-02-26;6610.545582015148
2012-03-04;6665.608904049865
2012-03-11;6729.291285468049
2012-03-18;6798.677778554964
2012-03-25;6871.443878542457
2012-04-01;6946.062157050781
2012-04-08;7021.773033276098
2012-04-15;7098.493762566419
2012-04-22;7173.666117123951
2012-04-29;7245.524060549302
2012-05-06;7313.316765119878
2012-05-13;7377.181200575246
2012-05-20;7435.694763676765
2012-05-27;7488.360987935442
2012-06-03;7535.307972634984
2012-06-10;7576.30671644164
2012-06-17;7611.4917755387505
2012-06-24;7641.125014411884
2012-07-01;7665.869240186896
2012-07-08;7685.994056855637
2012-07-15;7701.717275134836
2012-07-22;7713.696709455691
2012-07-29;7722.00722595244
2012-08-05;7726.684505315914
2012-08-12;7727.431098720723
2012-08-19;7723.917879525651
2012-08-26;7715.975451652786
2012-09-02;7703.750095349509
2012-09-09;7686.3893562059175
2012-09-16;7663.325311002514
2012-09-23;7634.284793172177
2012-09-30;7599.628807828404
2012-10-07;7558.721932088964
2012-10-14;7510.722100066733
2012-10-21;7455.803044667028
2012-10-28;7393.769297482626
2012-11-04;7325.100513203388
2012-11-11;7250.920865708246
2012-11-18;7172.355716055378
2012-11-25;7090.799224761895
2012-12-02;7007.735330022368
2012-12-09;6925.585595515897
2012-12-16;6846.664250340316
2012-12-23;6773.171407596255
2012-12-30;6708.448640227882
2013-01-06;6656.173039049621
2013-01-13;6618.452039475759
2013-01-20;6596.321093771173
2013-01-27;6590.982871676072
2013-02-03;6603.263592247059
2013-02-10;6633.370110245941
2013-02-17;6680.0253656893665
2013-02-24;6742.017067275083
2013-03-03;6816.51415784728
2013-03-10;6900.4030695831025
2013-03-17;6990.062413311036
2013-03-24;7082.893047941077
2013-03-31;7177.439543374901
2013-04-07;7273.046536359221
2013-04-14;7367.9740139261385
2013-04-21;7459.140059022531
2013-04-28;7544.222770836571
2013-05-05;7622.162036019542
2013-05-12;7692.773851990956
2013-05-19;7755.454114897818
2013-05-26;7810.195112229636
2013-06-02;7857.33009765411
2013-06-09;7897.585327893794
2013-06-16;7932.035603360208
2013-06-23;7961.9909836349425
2013-06-30;7989.042756047486
2013-07-07;8013.1815885625565
2013-07-14;8034.670622422336
2013-07-21;8054.334760376154
2013-07-28;8071.704111034323
2013-08-04;8085.742323781929
2013-08-11;8095.114482934663
2013-08-18;8098.827083855851
2013-08-25;8096.310925356984
2013-09-01;8087.297539322138
2013-09-08;8071.105138307044
2013-09-15;8047.081123905359
2013-09-22;8015.155331999296
2013-09-29;7975.648797768625
2013-10-06;7929.358709310611
2013-10-13;7877.0349742239105
2013-10-20;7819.272900913865
2013-10-27;7756.820900926928
2013-11-03;7690.181590246482
2013-11-10;7620.340821792835
2013-11-17;7547.964334992389
2013-11-24;7474.0489062579245
2013-12-01;7399.655709292852
2013-12-08;7327.130887234174
2013-12-15;7258.098298400579
2013-12-22;7192.176719306237
2013-12-29;7131.532990028818
2014-01-05;7079.611340196421
2014-01-12;7038.548791318378
2014-01-19;7008.7388578163955
2014-01-26;6990.975961117602
2014-02-02;6985.912810862991
2014-02-09;6993.281506717861
2014-02-16;7011.7892028407205
2014-02-23;7040.046627448383
2014-03-02;7076.847765505889
2014-03-09;7121.23157283612
2014-03-16;7172.489600408522
2014-03-23;7228.34887945952
2014-03-30;7287.399260225278
2014-04-06;7349.4934998922945
2014-04-13;7414.260981109432
2014-04-20;7481.105778088113
2014-04-27;7549.503051926571
2014-05-04;7617.722897611735
2014-05-11;7685.051970723072
2014-05-18;7749.207725029051
2014-05-25;7808.510081816435
2014-06-01;7862.155082543848
2014-06-08;7909.972824868778
2014-06-15;7951.837684522124
2014-06-22;7987.919054219241
2014-06-29;8018.705178122658
2014-07-06;8044.298725986019
2014-07-13;8065.06755182664
2014-07-20;8081.7199479580995
2014-07-27;8093.835414474082
2014-08-03;8100.803001500795
2014-08-10;8101.9937370304
2014-08-17;8096.666897179117
2014-08-24;8084.42426197752
2014-08-31;8065.120319645442
2014-09-07;8038.069918238975
2014-09-14;8002.672205614439
2014-09-21;7958.642535929253
2014-09-28;7906.114593212328
2014-10-05;7845.781034907623
2014-10-12;7778.419446838336
2014-10-19;7704.409426680848
2014-10-26;7624.050309957266
2014-11-02;7536.996176298022
2014-11-09;7443.647948889822
2014-11-16;7344.2365533091925
2014-11-23;7239.555010164599
2014-11-30;7131.073692218685
2014-12-07;7021.415125352744
2014-12-14;6912.513039390431
2014-12-21;6806.26777970205
2014-12-28;6705.320621008289
2015-01-04;6613.762045667525
2015-01-11;6534.0192106500035
2015-01-18;6466.7750466474245
2015-01-25;6412.800597344833
2015-02-01;6372.637047023116
2015-02-08;6346.430704589826
2015-02-15;6333.691230798124
2015-02-22;6333.771142210803
2015-03-01;6346.152523371408
2015-03-08;6368.933851859601
2015-03-15;6400.576634927939
2015-03-22;6439.669296171566
2015-03-29;6485.464898788797
2015-04-05;6537.586087667841
2015-04-12;6594.448342135165
2015-04-19;6652.4711502124455
2015-04-26;6709.129969707524
2015-05-03;6762.803713959354
2015-05-10;6812.435590075822
2015-05-17;6856.66455284359
2015-05-24;6894.789284805524
2015-05-31;6926.884303158966
2015-06-07;6953.774256798252
2015-06-14;6975.293241928244
2015-06-21;6990.985495843304
2015-06-28;7000.506322561586
2015-07-05;7004.301660166346
2015-07-12;7002.947130289241
2015-07-19;6997.040666024326
2015-07-26;6986.690233509224
2015-08-02;6972.025648465295
2015-08-09;6952.823795217956
2015-08-16;6928.837792062339
2015-08-23;6900.086492421561
2015-08-30;6866.723226098707
2015-09-06;6828.572518839097
2015-09-13;6785.561569371737
2015-09-20;6737.82909360136
2015-09-27;6685.407831451836
2015-10-04;6627.955004663534
2015-10-11;6566.097580082171
2015-10-18;6500.410052675544
2015-10-25;6431.329356423901
2015-11-01;6358.729044024571
2015-11-08;6283.708712327118
2015-11-15;6207.781252528591
2015-11-22;6132.839112880833
2015-11-29;6060.413628352862
2015-12-06;5992.086234468146
2015-12-13;5928.731858232433
2015-12-20;5871.64974775493
2015-12-27;5821.458068733447
2016-01-03;5779.914580773455
2016-01-10;5748.415507187461
2016-01-17;5727.3689996749945
2016-01-24;5717.399200243593
2016-01-31;5719.039395275997
