Fecha_Ini_Expte;Cant_Expte
2017-02-05;5070
2017-02-12;5969
2017-02-19;6282
2017-02-26;6353
2017-03-05;3996
2017-03-12;7404
2017-03-19;6399
2017-03-26;5235
2017-04-02;8065
2017-04-09;6885
2017-04-16;5026
2017-04-23;8049
2017-04-30;7057
2017-05-07;6137
2017-05-14;8459
2017-05-21;7421
2017-05-28;5461
2017-06-04;7051
2017-06-11;8315
2017-06-18;8682
2017-06-25;6246
2017-07-02;7078
2017-07-09;8990
2017-07-16;8141
2017-07-23;6329
2017-07-30;6669
2017-08-06;7119
2017-08-13;8423
2017-08-20;7908
2017-08-27;5836
2017-09-03;6670
2017-09-10;8227
2017-09-17;8562
2017-09-24;7067
2017-10-01;6608
2017-10-08;7783
2017-10-15;8053
2017-10-22;6099
2017-10-29;6750
2017-11-05;6842
2017-11-12;8185
2017-11-19;7339
2017-11-26;6298
2017-12-03;5636
2017-12-10;6703
2017-12-17;6599
2017-12-24;6439
2017-12-31;6480
2018-01-07;5431
2018-01-14;5963
2018-01-21;4819
2018-01-28;4736
2018-02-04;5005
2018-02-11;6028
2018-02-18;4222
2018-02-25;6650
2018-03-04;6184
2018-03-11;4920
2018-03-18;5387
2018-03-25;9743
2018-04-01;4212
2018-04-08;5693
2018-04-15;8322
2018-04-22;7397
2018-04-29;7112
2018-05-06;4380
2018-05-13;7842
2018-05-20;7873
2018-05-27;5869
2018-06-03;6900
2018-06-10;7505
2018-06-17;7428
2018-06-24;5643
2018-07-01;4557
2018-07-08;6361
2018-07-15;3960
2018-07-22;5071
2018-07-29;6625
2018-08-05;7188
2018-08-12;7290
2018-08-19;6677
2018-08-26;5392
2018-09-02;5716
2018-09-09;7170
2018-09-16;6861
2018-09-23;6673
2018-09-30;4949
2018-10-07;7365
2018-10-14;7250
2018-10-21;5012
2018-10-28;6021
2018-11-04;6147
2018-11-11;7138
2018-11-18;4972
2018-11-25;5314
2018-12-02;6095
2018-12-09;5713
2018-12-16;7705
2018-12-23;6712
2018-12-30;3923
2019-01-06;3387
2019-01-13;5638
2019-01-20;5528
2019-01-27;4155
2019-02-03;4000
2019-02-10;6506
2019-02-17;5996
2019-02-24;5126
2019-03-03;4950
2019-03-10;3432
2019-03-17;7245
2019-03-24;6098
2019-03-31;4369
2019-04-07;5426
2019-04-14;7529
2019-04-21;4291
2019-04-28;5912
2019-05-05;4643
2019-05-12;7121
2019-05-19;6954
2019-05-26;5744
2019-06-02;4395
2019-06-09;6501
2019-06-16;7120
2019-06-23;3504
2019-06-30;5934
2019-07-07;6048
2019-07-14;3303
2019-07-21;5686
2019-07-28;4875
2019-08-04;5337
2019-08-11;6135
2019-08-18;6614
2019-08-25;4976
2019-09-01;5387
2019-09-08;5850
2019-09-15;5893
2019-09-22;6563
2019-09-29;5517
2019-10-06;5495
2019-10-13;6570
2019-10-20;4623
2019-10-27;5523
2019-11-03;5374
2019-11-10;6534
2019-11-17;4924
2019-11-24;5346
2019-12-01;5118
2019-12-08;5124
2019-12-15;6524
2019-12-22;6056
2019-12-29;3388
2020-01-05;2548
2020-01-12;4086
2020-01-19;3338
2020-01-26;2772
2020-02-02;2626
2020-02-09;5868
2020-02-16;6008
2020-02-23;5215
2020-03-01;3322
2020-03-08;6042
2020-03-15;5959
2020-03-22;3508
2020-03-29;234
2020-04-05;655
2020-04-12;631
2020-04-19;1623
2020-04-26;1804
2020-05-03;1554
2020-05-10;2338
2020-05-17;2838
2020-05-24;2840
2020-05-31;2680
2020-06-07;3727
2020-06-14;4303
2020-06-21;3622
2020-06-28;3427
2020-07-05;4093
2020-07-12;2763
2020-07-19;5012
2020-07-26;4087
2020-08-02;3972
2020-08-09;4848
2020-08-16;5070
2020-08-23;3753
2020-08-30;4966
2020-09-06;4431
2020-09-13;3826
2020-09-20;3221
2020-09-27;3072
2020-10-04;3378
2020-10-11;4700
2020-10-18;3973
2020-10-25;4155
2020-11-01;4111
2020-11-08;5098
2020-11-15;5563
2020-11-22;5002
2020-11-29;3706
2020-12-06;4379
2020-12-13;3773
2020-12-20;5874
2020-12-27;3241
